track_id,track_name,artist_name,album_name,chart_market,track_genre,artist_genre,price,price_tier,release_date,chart_date,days_since_release,release_category,loaded_at
1847992612,Raindance,Dave & Tems,The Boy Who Played the Harp,gb,Hip-Hop/Rap,Hip-Hop/Rap,0.59,standard,2025-10-24,2026-04-10 15:35:58.512600,168.0,recent,2026-04-10 08:36:01.910
1888238250,Raindrops,Rick Astley,Raindrops - Single,gb,Pop,Pop,0.99,standard,,2026-04-10 15:35:58.512604,,catalogue,2026-04-10 08:36:01.910
1226021297,Sign of the Times,Harry Styles,Harry Styles,gb,Pop,Pop,0.99,standard,2017-04-07,2026-04-10 15:35:58.512607,3290.0,catalogue,2026-04-10 08:36:01.910
1891161450,Going Shopping,The Strokes,Reality Awaits,gb,Alternative,Alternative,0.99,standard,2026-04-07,2026-04-10 15:35:58.512610,3.0,new_release,2026-04-10 08:36:01.910
1885621580,Love And Country Music,Kylie Morgan,"The Healed Cowgirl, Pt. 1",gb,Country,Country,0.99,standard,,2026-04-10 15:35:58.512614,,catalogue,2026-04-10 08:36:01.910
1632448108,End of Beginning,Djo,DECIDE,gb,Alternative,Alternative,0.59,standard,2024-03-01,2026-04-10 15:35:58.512618,770.0,catalogue,2026-04-10 08:36:01.910
1881933787,My Inner Vitriol,Bradley Jago,My Inner Vitriol - EP,gb,Adult Contemporary,Adult Contemporary,0.99,standard,,2026-04-10 15:35:58.512622,,catalogue,2026-04-10 08:36:01.910
1886174578,Tears Won’t Lie,Brooke Combe,Tears Won’t Lie - Single,gb,Soul,Soul,0.99,standard,2026-04-08,2026-04-10 15:35:58.512627,2.0,new_release,2026-04-10 08:36:01.910
1841769602,Die On This Hill,SIENNA SPIRO,Die On This Hill - Single,gb,Pop,Pop,0.99,standard,2025-10-10,2026-04-10 15:35:58.512631,182.0,recent,2026-04-10 08:36:01.910
1871085694,Click Clack Symphony. (feat. Hans Zimmer),RAYE,THIS MUSIC MAY CONTAIN HOPE.,gb,Pop,Pop,0.99,standard,2026-03-27,2026-04-10 15:35:58.512635,14.0,new_release,2026-04-10 08:36:01.910
1882146993,The Visitor,SIENNA SPIRO,The Visitor - Single,gb,Pop,Pop,0.99,standard,2026-03-13,2026-04-10 15:35:58.512637,28.0,new_release,2026-04-10 08:36:01.910
1870984033,Aperture,Harry Styles,"Kiss All The Time. Disco, Occasionally.",gb,Pop,Pop,0.99,standard,2026-01-22,2026-04-10 15:35:58.512645,78.0,recent,2026-04-10 08:36:01.910
1887403088,Days We Left Behind,Paul McCartney,The Boys of Dungeon Lane,gb,Rock,Rock,0.99,standard,,2026-04-10 15:35:58.512649,,catalogue,2026-04-10 08:36:01.910
1868401959,All About Us 2.0 (feat. Montell Jordan),Peter Andre,Legacy,gb,Pop,Pop,0.99,standard,,2026-04-10 15:35:58.512653,,catalogue,2026-04-10 08:36:01.910
